T2,585.3201904296875, 1457.5234375, -10.878119468688965
T10,526.6509399414062, 1237.810791015625, -12.686561584472656
MAN,700.200927734375, 1380.7337646484375, -7.878819942474365
LASI,709.4808349609375, 1054.6785888671875, -104.86294555664062
RASI,711.5697021484375, 1060.5792236328125, 92.546630859375
LPSI,562.1405639648438, 1066.849609375, -44.48013687133789
RPSI,560.7765502929688, 1064.3951416015625, 41.80343246459961
LPAT,765.6842651367188, 639.5309448242188, -83.20130157470703
LKAX,699.4757080078125, 606.6627197265625, -252.1588592529297
LANK,609.3999633789062, 206.24830627441406, -163.59677124023438
LMED,623.0958862304688, 203.40505981445312, -78.68962860107422
LHEE,553.6483764648438, 183.8313751220703, -129.2511749267578
LTOE,668.1577758789062, 202.7019805908203, -137.54637145996094
RPAT,733.9554443359375, 642.2025756835938, 80.86259460449219
RKAX,679.3517456054688, 595.1278686523438, 255.57203674316406
RANK,599.41552734375, 204.3086395263672, 180.74110412597656
RMED,610.1566772460938, 199.33590698242188, 99.15351867675781
RHEE,542.8440551757812, 184.6295928955078, 151.23512268066406
RTOE,656.65771484375, 197.96678161621094, 160.2369384765625
LKNE,701.4345092773438, 589.31591796875, -151.8873291015625
RKNE,669.0003662109375, 583.89697265625, 154.2953643798828
LTHI,680.9124755859375, 750.572509765625, -208.18101501464844
LTIB,641.937744140625, 420.2059020996094, -224.023193359375
RTHI,658.5396118164062, 762.78857421875, 208.94479370117188
RTIB,618.5933837890625, 443.74725341796875, 231.56558227539062
LKNEM,703.5919276843232, 570.2101975484827, -41.44853767872159
RKNEM,657.78203344273, 571.7254616172603, 44.53652269079831
